ukrainian,definition
аавдовжки,lengthwise; along the length
ааміна,amino (n. in chemistry)
аамінаювати,aminate; aminooting? (v.)
аапримічати,"to perceive, to observe, to notice; to see"
ааприсягати,"to swear a person in, to put a p. on his oath"
абажур,"shade, lampshade"
абат,"abbot, abbé"
абатиса,abbess
абатство,abbey
абая,abaya
абдикація,abdication; n.
абдикувати,to abdicate
абдуктор,abductor
абдукція,abduction
аберантнии,aberrant
аберація,aberration
абетка,alphabet
абетковии,"alphabetical, alphabetic"
абзац,paragraph
аби,in order that; so that
абихто,"anyone, anybody"
абияк,"however, no matter how, anyhow; negligently"
абітурієнт,"ex-student, graduate, (AmE)"
абітурієнтка,(female) ex-student
абітурієнтськии,applicant (n.)
або,or
абонемент,"permanent pass, season ticket; ski pass; year-round pass"
абонент,subscriber of sth
абонентка,(female) subscriber
абориген,"Aboriginal, Aborigine"
аборт,abortion; abortion law; abort sb
абразивнии,abrasive
абрикос,apricot
абрикоса,apricot tree
АБС,ABS
абсент,absinthe
абсентеізм,absenteeism
абсолютизм,absolutism
абсолютнии,"absolute, total, complete"
абсолютно,absolutely; It is absolutely clear that…; You are absolutely right.
абсорбовании,absorbed
абсорбувати,absorb sth
абсорбція,absorption
абстинент,"abstainer, teetotaller"
абстинентка,(female) abstainer
абстинентція,abstinence; n.
абстиненція,"abstinence, abstention from sth"
абстрагуватися,abstract
абстракт,abstract
абстрактнии,abstract
абстрактниипр,abstract
абстрактність,abstractness; n.
абстракція,abstraction
абсурд,absurdity
абсурднии,absurd
абсурдність,absurdity
абсцес,abscess; n.
абсциса,abscissa
абулія,"abulia, aboulia"
Абхазія,Abkhazia
абʼюзер,abuser
абякии,whosoever; whoever
авангард,vanguard
аванґард,avant-garde; n.
аванпост,outpost
аванс,"advance, down payment"
авантура,venture; n.
авантураницькии,adventurous; wild
авантурник,adventurer; n.
авантурниця,adventuress; n.
авантюра,adventure
авантюрист,"adventurer, swashbuckler"
авантюристка,(female) adventurer
авантюрнии,"adventurous, (AmE)"
аваріинии,"emergency, accident; breakdown lane, emergency lane; emergency mode"
аваріиність,accident rate
