ukrainian,definition
аавдовжки,npc in length; три
ааміна,"(-ни) ж, ~ ення c exchange, barter; в ~y за in exchange for"
аамінаювати,"to exchange (за - for); (помилко́во) to mistake (за - for); to change by mistake; (ка́ру) to commute; (заступа́ти) to replace, to supersede"
аапримічати,"to perceive, to observe, to notice; to see"
ааприсягати,"to swear a person in, to put a p. on his oath"
абажур,"shade, lampshade"
абат,"abbot, abbé"
абатиса,abbess
абатство,abbey
абая,abaya
абдикація,(-ії) ж abdication;
абдикувати,to abdicate
абдуктор,abductor
абдукція,abduction
аберантнии,aberrant
аберація,aberration
абетка,alphabet
абетковии,"alphabetical, alphabetic"
абзац,paragraph
аби,en provided that; = щоб;
абихто,"anyone, anybody"
абияк,"however, no matter how, anyhow; negligently"
абітурієнт,"ex-student, graduate, (AmE)"
абітурієнтка,(female) ex-student
абітурієнтськии,np ~іспит ч leavingexamlnation (of college students) = матура
або,or
абонемент,"permanent pass, season ticket; ski pass; year-round pass"
абонент,subscriber of sth
абонентка,(female) subscriber
абориген,"Aboriginal, Aborigine"
аборт,abortion; abortion law; abort sb
абразивнии,abrasive
абрикос,apricot
абрикоса,apricot tree
АБС,ABS
абсент,absinthe
абсентеізм,absenteeism
абсолютизм,absolutism
абсолютнии,"absolute, total, complete"
абсолютно,absolutely; It is absolutely clear that…; You are absolutely right.
абсорбовании,absorbed
абсорбувати,absorb sth
абсорбція,absorption
абстинент,"abstainer, teetotaller"
абстинентка,(female) abstainer
абстинентція,(-ії) ж total abstinence
абстиненція,"abstinence, abstention from sth"
абстрагуватися,abstract
абстракт,abstract
абстрактнии,abstract
абстрактниипр,abstract
абстрактність,"( ности) ж, ~ція (ії) ж abstraction"
абстракція,abstraction
абсурд,absurdity
абсурднии,absurd
абсурдність,absurdity
абсцес,(-у) ч мед. abscess
абсциса,abscissa
абулія,"abulia, aboulia"
Абхазія,Abkhazia
абʼюзер,abuser
абякии,"(-ка, -ке) зм whosoever"
авангард,vanguard
аванґард,"(-у) ч військ, vanguard"
аванпост,outpost
аванс,"advance, down payment"
авантура,(ри) ж adventure;
авантураницькии,adventurous; wild
авантурник,ч adventurer
авантурниця,(-ці) ж adventuress
авантюра,adventure
авантюрист,"adventurer, swashbuckler"
авантюристка,(female) adventurer
авантюрнии,"adventurous, (AmE)"
аваріинии,"emergency, accident; breakdown lane, emergency lane; emergency mode"
аваріиність,accident rate
аварія,"accident, crash; fatal accident; shipwreck; crash"
авдиторія,(-ії) ж audience (слухачі); lecture-room (заля)
авдиція,(-ії) ж transmission
авдієнція,(-ії) ж audience
авеню,avenue
авжеж,"certainly, sure, surely"
авіабаза,air base
авіабомба,aerial bomb
авіакатастрофа,"air crash, air disaster"
авіаквиток,"air(line) ticket, flight ticket; airfare, air fare"
авіаклуб,"aeroclub, aviation club"
авіакомпанія,"airline, airways"
авіакрило,"wing, squadron"
авіалінія,"airline, airways, air route"
авіаносець,aircraft carrier
авіапошта,airmail
авіареис,flight; direct flight; return flight
авіасимулятор,flight simulator
авіасполучення,air connection
авіаудар,air strike
авіаціинии,"air, aerial, aircraft"
авіація,aviation
авізо,"notice, notification, advice; credit note, (AmE)"
авізувати,to advise
авіоніка,avionics
авітаміноз,avitaminosis
авля,(-лі) ж g:eat hall
авокадо,avocado
аволікати,"to delay, to retard,"
аворот,"(-ту) ч turning (back),"
